ligand name,T [°C],t [h],solvent1,V/V solvent1 [ ],solvent2,V/V solvent2 [ ],solvent3,V/V solvent3 [ ],inorganic salt,metal,additional,reported,outcome,score,,CCDC,Isostructural,Enantiomeric,Source,,Category
5-azidoisophthalic acid,25,504,DMA,1,NA,NA,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1039/c8cy00579f,successful,1.00,,BIJDUW,identical,identical,linked,,optimization
5-azidoisophthalic acid,85,24,DMA,1,NA,NA,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1039/c8cy00579f,successful,1.00,,BIJDUW,identical,identical,linked,,optimization
5-azidoisophthalic acid,85,24,DMF,1,NA,NA,NA,NA,Cu(NO3)2·3H2O,Cu,NA,10.1039/c8cy00579f,failed,0.00,,BIJDUW,identical,identical,linked,,optimization
"1,3,5-tris(4-cyanophenylethynyl)benzene",120,4,benzene,1,NA,NA,NA,NA,AgCF3SO3,Ag,NA,10.1039/d0fd00003e,successful,1.00,,ZABQIC,identical,identical,linked,,optimization
"1,3,5-tris(4-cyanophenylethynyl)benzene",120,4,water,1,NA,NA,NA,NA,AgCF3SO3,Ag,NA,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
"1,3,5-tris(4-cyanophenylethynyl)benzene",120,4,water,0.2,DMA,0.8,NA,NA,AgCF3SO3,Ag,NA,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
"1,3,5-tris(4-cyanophenylethynyl)benzene",100,20,water,1,NA,NA,NA,NA,AgCF3SO3,Ag,nitric acid,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
"benzene-1,3,5-tricarboxylic acid",160,48,toluene,0.5,sulphuric acid,0.5,NA,NA,FeCl3·6H2O,Fe,nitric acid,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
2-methylimidazole,150,24,ethylene glycol,0.5,nitric acid,0.5,NA,NA,Zn(NO3)2·6H2O,Zn,NA,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
2-methylimidazole,100,48,ethanol,0.5,nitric acid,0.5,NA,NA,Zn(NO3)2·6H2O,Zn,NA,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
(2E)-but-2-enedioic acid,100,24,DMF,0.2,ethanol,0.4,nitric acid,0.4,FeCl3·6H2O,Fe,NA,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
(2E)-but-2-enedioic acid,100,24,sulphuric acid,0.5,hydrogen peroxide,0.25,water,0.25,FeCl3·6H2O,Fe,NA,generated,incompatible,0.00,,generated,NA,NA,NA,,generated
"benzene-1,4-dicarboxylic acid",120,16,Solketal,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,unknown phase,0.50,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,1-(2-hydroxyehtyl)-2-pyrrolidone,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,"1,3-propanediol",0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,2-ethylhexylacetate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,diethyl succinate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,unknown phase,0.50,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,dimethyl adipate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,byproduct,0.30,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,dimethyl succinate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,unknown phase,0.50,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,Esterol F,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,ethylene glycol diacetate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,ethyl-L-lactate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,γ-valerolactone,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,i-butylacetate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,i-propylacetate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,IRIS,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,isoamyl acetate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,methyl laurate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,n-amyl acetate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,Purasolv EHL,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,triacetine,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,diethyl carbonate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,dimethyl carbonate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,byproduct,0.30,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,propylene carbonate,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,cyclohexanone,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,p-cymene,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,"1,3-dioxolane",0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,2-methyltetrahydrofuran,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,anisole,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,4-methyltetrahydropyran,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,cyclopentylmethyl ether,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,failed,0.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,t-amylmethyl ether,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,Polarclean,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,Steposol,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,Steposol,0.993,water,0.007,NA,NA,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",120,16,DMF,0.818,water,0.006,acetic acid,0.176,ZrCl4,Zr,NA,10.1021/acssuschemeng.0c05587,successful,1.00,,RUBTAK,identical,identical,matched,,optimization
"benzene-1,4-dicarboxylic acid",100,24,acetic acid,0.4,water,0.6,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,modest yield,0.95,,RUBTAK,identical,identical,matched,,optimization
2-aminoterephthalic acid,100,24,acetic acid,0.2,water,0.8,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,modest yield,0.95,,SURKAT,identical,identical,matched,,optimization
"2,5-dihydroxyterephthalic acid",100,24,acetic acid,0.6,water,0.4,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,successful,1.00,,RUBTAK,isostructural,identical,matched,,optimization
"1,2,4,5-benzenetetracarboxylic acid",100,24,acetic acid,0.4,water,0.6,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,successful,1.00,,RUBTAK,isostructural,identical,matched,,optimization
"2,5-diethyloxyterephthalic acid",100,24,acetic acid,0.4,water,0.6,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,successful,1.00,,RUBTAK,isostructural,identical,matched,,optimization
"2,3,5,6-tetrafluoro-1,4-benzenedicarboxylic acid",100,24,acetic acid,0.4,water,0.6,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,successful,1.00,,RUBTAK,isostructural,identical,matched,,optimization
"benzene-1,2,3,4,5,6-hexacarboxylic acid",100,24,acetic acid,0.6,water,0.4,NA,NA,Zr(NO3)4,Zr,NA,10.1021/acs.inorgchem.5b00435,modest yield,0.95,,RUBTAK,isostructural,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",118,NA,acetic acid,1,NA,NA,NA,NA,Cu(AcO)2·H2O,Cu,NA,10.1016/j.poly.2019.06.017,modest yield,0.95,,FIQCEN,identical,identical,matched,,optimization
"benzene-1,3,5-tricarboxylic acid",118,1,acetic acid,1,NA,NA,NA,NA,Co(AcO)2·4H2O,Co,NA,10.1016/j.poly.2019.06.017,successful,1.00,,NOMTER,identical,identical,linked,,optimization
"benzene-1,3,5-tricarboxylic acid",141,1,propionic acid,1,NA,NA,NA,NA,Ni(AcO)2·4H2O,Ni,NA,10.1016/j.poly.2019.06.017,successful,1.00,,missing,NA,NA,NA,,optimization
"benzene-1,3,5-tricarboxylic acid",118,1,acetic acid,1,NA,NA,NA,NA,Bi(AcO)3,Bi,NA,10.1016/j.poly.2019.06.017,modest yield,0.95,,NOMTAN,identical,identical,linked,,optimization
